ImeKluba,Sport,Mjesto,Liga,RangNatjecanja,GodinaOsnutka,Predsjednik.Ime,Predsjednik.Prezime,Kontakt_Email,Kontakt_Telefon,Igrač.Ime,Igrač.Prezime
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Karlo,Štimac
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Toni,Smutni
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Deni,Vilček
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Matej,Oršulić
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Leon,Dujmović
RK Viro-Virovitica,Rukomet,Virovitica,2. HRL Istok,3,1949,Zlarin,Rončević,rkviro@rk-viro-virovitica.com,033721721,Hrvoje,Vašarević
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Tomislav,Lulić
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Miroslav,Lalić
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Domagoj,Cah
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Miljenko,Benčić
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Marko,Marković
KK Virka,Košarka,Virovitica,2. ML Sjever,3,2019,Zvonimir,Petrović,kkvirka@kk-virka-virovitica.com,033722722,Vladimir,Karlović
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Filip,Šimić
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Mihael,Zdenić
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Luka,Novosel
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Mladen,Šplajt
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Goran,Karlović
NK Virovitica,Nogomet,Virovitica,3. HNL Sjever,3,1908,Damir,Pervan,nogometni.klub.virovitica@vt.t-com.hr,033723723,Teodor,Kraus
RK Zagreb,Rukomet,Zagreb,Paket24 Premijer liga,1,1922,Vedran,Šupuković,info@rk-zagreb.hr,015559695,Matej,Mandić
